,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp
229,29/04/2020,29,4,2020,14,2,Albania,AL,ALB,2862427.0,Europe
230,28/04/2020,28,4,2020,10,0,Albania,AL,ALB,2862427.0,Europe
231,27/04/2020,27,4,2020,14,1,Albania,AL,ALB,2862427.0,Europe
232,26/04/2020,26,4,2020,34,0,Albania,AL,ALB,2862427.0,Europe
233,25/04/2020,25,4,2020,15,0,Albania,AL,ALB,2862427.0,Europe
234,24/04/2020,24,4,2020,29,0,Albania,AL,ALB,2862427.0,Europe
235,23/04/2020,23,4,2020,25,1,Albania,AL,ALB,2862427.0,Europe
236,22/04/2020,22,4,2020,25,0,Albania,AL,ALB,2862427.0,Europe
237,21/04/2020,21,4,2020,22,0,Albania,AL,ALB,2862427.0,Europe
238,20/04/2020,20,4,2020,14,0,Albania,AL,ALB,2862427.0,Europe
239,19/04/2020,19,4,2020,9,0,Albania,AL,ALB,2862427.0,Europe
240,18/04/2020,18,4,2020,21,0,Albania,AL,ALB,2862427.0,Europe
241,17/04/2020,17,4,2020,24,1,Albania,AL,ALB,2862427.0,Europe
242,16/04/2020,16,4,2020,19,1,Albania,AL,ALB,2862427.0,Europe
243,15/04/2020,15,4,2020,8,1,Albania,AL,ALB,2862427.0,Europe
244,14/04/2020,14,4,2020,21,0,Albania,AL,ALB,2862427.0,Europe
245,13/04/2020,13,4,2020,13,0,Albania,AL,ALB,2862427.0,Europe
246,12/04/2020,12,4,2020,17,0,Albania,AL,ALB,2862427.0,Europe
247,11/04/2020,11,4,2020,7,0,Albania,AL,ALB,2862427.0,Europe
248,10/04/2020,10,4,2020,9,1,Albania,AL,ALB,2862427.0,Europe
249,09/04/2020,9,4,2020,17,0,Albania,AL,ALB,2862427.0,Europe
250,08/04/2020,8,4,2020,6,0,Albania,AL,ALB,2862427.0,Europe
251,07/04/2020,7,4,2020,16,1,Albania,AL,ALB,2862427.0,Europe
252,06/04/2020,6,4,2020,28,2,Albania,AL,ALB,2862427.0,Europe
253,05/04/2020,5,4,2020,29,2,Albania,AL,ALB,2862427.0,Europe
254,04/04/2020,4,4,2020,27,1,Albania,AL,ALB,2862427.0,Europe
255,03/04/2020,3,4,2020,18,1,Albania,AL,ALB,2862427.0,Europe
256,02/04/2020,2,4,2020,16,0,Albania,AL,ALB,2862427.0,Europe
257,01/04/2020,1,4,2020,20,3,Albania,AL,ALB,2862427.0,Europe
258,31/03/2020,31,3,2020,11,2,Albania,AL,ALB,2862427.0,Europe
259,30/03/2020,30,3,2020,15,0,Albania,AL,ALB,2862427.0,Europe
260,29/03/2020,29,3,2020,11,1,Albania,AL,ALB,2862427.0,Europe
261,28/03/2020,28,3,2020,12,3,Albania,AL,ALB,2862427.0,Europe
262,27/03/2020,27,3,2020,28,1,Albania,AL,ALB,2862427.0,Europe
263,26/03/2020,26,3,2020,23,0,Albania,AL,ALB,2862427.0,Europe
264,25/03/2020,25,3,2020,23,1,Albania,AL,ALB,2862427.0,Europe
265,24/03/2020,24,3,2020,11,2,Albania,AL,ALB,2862427.0,Europe
266,23/03/2020,23,3,2020,13,0,Albania,AL,ALB,2862427.0,Europe
267,22/03/2020,22,3,2020,6,0,Albania,AL,ALB,2862427.0,Europe
268,21/03/2020,21,3,2020,0,0,Albania,AL,ALB,2862427.0,Europe
269,20/03/2020,20,3,2020,11,0,Albania,AL,ALB,2862427.0,Europe
270,19/03/2020,19,3,2020,4,1,Albania,AL,ALB,2862427.0,Europe
271,18/03/2020,18,3,2020,4,0,Albania,AL,ALB,2862427.0,Europe
272,17/03/2020,17,3,2020,9,0,Albania,AL,ALB,2862427.0,Europe
273,16/03/2020,16,3,2020,4,0,Albania,AL,ALB,2862427.0,Europe
274,15/03/2020,15,3,2020,5,0,Albania,AL,ALB,2862427.0,Europe
275,14/03/2020,14,3,2020,10,0,Albania,AL,ALB,2862427.0,Europe
276,13/03/2020,13,3,2020,12,0,Albania,AL,ALB,2862427.0,Europe
277,12/03/2020,12,3,2020,1,1,Albania,AL,ALB,2862427.0,Europe
278,11/03/2020,11,3,2020,4,0,Albania,AL,ALB,2862427.0,Europe
279,10/03/2020,10,3,2020,4,0,Albania,AL,ALB,2862427.0,Europe
280,09/03/2020,9,3,2020,2,0,Albania,AL,ALB,2862427.0,Europe
281,27/06/2020,27,6,2020,240,7,Algeria,DZ,DZA,43053054.0,Africa
282,26/06/2020,26,6,2020,197,9,Algeria,DZ,DZA,43053054.0,Africa
283,25/06/2020,25,6,2020,172,8,Algeria,DZ,DZA,43053054.0,Africa
284,24/06/2020,24,6,2020,156,9,Algeria,DZ,DZA,43053054.0,Africa
285,23/06/2020,23,6,2020,149,7,Algeria,DZ,DZA,43053054.0,Africa
286,22/06/2020,22,6,2020,140,8,Algeria,DZ,DZA,43053054.0,Africa
287,21/06/2020,21,6,2020,127,12,Algeria,DZ,DZA,43053054.0,Africa
288,20/06/2020,20,6,2020,119,14,Algeria,DZ,DZA,43053054.0,Africa
289,19/06/2020,19,6,2020,117,12,Algeria,DZ,DZA,43053054.0,Africa
290,18/06/2020,18,6,2020,121,11,Algeria,DZ,DZA,43053054.0,Africa
291,17/06/2020,17,6,2020,116,11,Algeria,DZ,DZA,43053054.0,Africa
292,16/06/2020,16,6,2020,112,10,Algeria,DZ,DZA,43053054.0,Africa
293,15/06/2020,15,6,2020,109,7,Algeria,DZ,DZA,43053054.0,Africa
294,14/06/2020,14,6,2020,112,9,Algeria,DZ,DZA,43053054.0,Africa
295,13/06/2020,13,6,2020,109,10,Algeria,DZ,DZA,43053054.0,Africa
296,12/06/2020,12,6,2020,105,9,Algeria,DZ,DZA,43053054.0,Africa
297,11/06/2020,11,6,2020,102,8,Algeria,DZ,DZA,43053054.0,Africa
298,10/06/2020,10,6,2020,117,9,Algeria,DZ,DZA,43053054.0,Africa
299,09/06/2020,9,6,2020,111,8,Algeria,DZ,DZA,43053054.0,Africa
300,08/06/2020,8,6,2020,104,9,Algeria,DZ,DZA,43053054.0,Africa
301,07/06/2020,7,6,2020,115,8,Algeria,DZ,DZA,43053054.0,Africa
302,06/06/2020,6,6,2020,104,9,Algeria,DZ,DZA,43053054.0,Africa
303,05/06/2020,5,6,2020,205,14,Algeria,DZ,DZA,43053054.0,Africa
304,04/06/2020,4,6,2020,0,0,Algeria,DZ,DZA,43053054.0,Africa
305,03/06/2020,3,6,2020,113,6,Algeria,DZ,DZA,43053054.0,Africa
306,02/06/2020,2,6,2020,119,8,Algeria,DZ,DZA,43053054.0,Africa
307,01/06/2020,1,6,2020,127,7,Algeria,DZ,DZA,43053054.0,Africa
308,31/05/2020,31,5,2020,133,8,Algeria,DZ,DZA,43053054.0,Africa
309,30/05/2020,30,5,2020,137,8,Algeria,DZ,DZA,43053054.0,Africa
310,29/05/2020,29,5,2020,140,7,Algeria,DZ,DZA,43053054.0,Africa
311,28/05/2020,28,5,2020,160,6,Algeria,DZ,DZA,43053054.0,Africa
312,27/05/2020,27,5,2020,194,8,Algeria,DZ,DZA,43053054.0,Africa
313,26/05/2020,26,5,2020,197,9,Algeria,DZ,DZA,43053054.0,Africa
314,25/05/2020,25,5,2020,193,8,Algeria,DZ,DZA,43053054.0,Africa
315,24/05/2020,24,5,2020,195,10,Algeria,DZ,DZA,43053054.0,Africa
316,23/05/2020,23,5,2020,190,7,Algeria,DZ,DZA,43053054.0,Africa
317,22/05/2020,22,5,2020,186,7,Algeria,DZ,DZA,43053054.0,Africa
318,21/05/2020,21,5,2020,165,7,Algeria,DZ,DZA,43053054.0,Africa
